    4.7381616	   55.87749	  -13.82548	    238.274
    4.5286241	   56.75444	  -13.93824	   239.6564
    4.3283362	   57.84038	  -15.17856	   240.7061
    4.1369486	   59.10015	  -16.44816	   241.1044
    3.9540093	    60.0396	  -16.37986	   241.0869
      3.77912	   60.61382	  -16.00581	   241.3172
    3.6120303	   61.22905	  -13.36903	   241.0965
    3.4522898	   62.27788	  -12.47131	   241.1732
    3.2995994	   61.96148	  -11.70912	   241.4724
    3.1537082	   62.02983	   -12.0398	   241.7764
    3.0142164	   62.68804	   -12.7326	   242.8676
    2.8809249	   63.79351	  -13.88836	   242.8996
    2.7535322	   64.43609	  -14.92378	    243.274
    2.6317399	    66.5357	  -14.01413	   244.1333
    2.5153468	   68.64898	   -13.7008	   245.3988
    2.4041038	   69.56304	  -13.77019	   246.4164
    2.2978103	   71.39507	  -14.87716	   246.6485
    2.1962163	   72.79742	  -14.98449	   247.4612
     2.099072	   75.00054	  -13.85801	   248.7141
     2.006228	   76.95757	  -11.42506	   249.7477
    1.9175333	   78.92632	   -10.0221	   250.1844
    1.8327384	   80.90679	  -9.680574	    250.946
    1.7516935	   82.29546	  -9.497344	   251.6501
    1.6742481	   83.60796	  -11.63105	   253.4532
    1.6002026	    84.5357	  -14.67224	   254.6788
    1.5294068	   85.71929	  -17.18109	   257.1748
     1.461761	   87.26031	   -17.8598	   258.7285
     1.397115	   88.45367	  -18.99496	    259.554
    1.3353187	   89.36968	  -20.97905	   260.8549
    1.2762724	   90.80718	  -23.11601	   262.4293
    1.2198256	    92.7271	  -26.03793	   264.9844
    1.1658791	   95.10406	  -26.98444	   266.4709
    1.1143322	   96.41851	  -27.48751	   266.9445
    1.0650351	   96.98101	  -28.90456	    267.226
    1.0179431	   96.56109	  -28.08924	   267.3044
   0.97294575	   97.46539	  -27.43222	   267.0485
   0.92991841	   98.61773	  -27.27176	   266.6757
   0.88879585	   99.27007	  -27.23055	   265.6229
   0.84948826	   99.56499	  -27.46474	   264.2788
   0.81192058	   100.1705	  -26.95734	   263.3141
   0.77601779	   100.5845	   -27.3238	   262.1332
   0.74169981	   100.6744	  -27.05166	   260.3061
   0.70889688	   101.1236	  -26.25044	   258.4388
   0.67754877	   101.4478	  -25.36464	   256.5109
   0.64758557	   101.0357	  -25.30067	   254.8197
   0.61894733	   100.8111	    -24.983	   253.2836
   0.59157395	   101.1373	  -24.79435	   251.6965
   0.56541061	   101.7076	  -23.91832	   250.2805
   0.54040712	    102.147	  -23.99855	   248.9397
   0.51650858	   102.9361	  -23.49439	   248.1924
   0.49366996	    104.024	  -23.91615	   247.9908
   0.47184128	   105.5084	  -22.56957	    247.834
   0.45097253	   107.2779	  -22.27467	   248.2421
   0.43102878	   107.7349	   -20.3166	   248.6933
    0.4119699	   107.6275	  -19.57717	   248.2469
   0.39375103	   107.7232	  -17.94328	    248.162
   0.37633711	    107.688	  -16.66175	    248.026
   0.35969311	   107.2701	   -16.4731	   247.8788
   0.34378406	    107.815	  -17.26782	   247.8053
   0.32857999	   109.6314	  -18.14819	   247.1396
   0.31405088	   110.6627	  -18.75751	   245.9989
   0.30016172	   112.5005	  -19.89376	   244.7749
   0.28688756	   114.3912	  -20.66138	    243.586
    0.2742033	   116.2818	  -21.61547	   242.4884
   0.26207906	   117.6978	  -22.20419	   241.6644
   0.25048974	   119.2779	  -22.36466	   240.8468
   0.23941042	   120.8951	   -21.9776	     239.89
   0.22882107	   123.1041	  -22.08818	   239.0869
   0.21870169	   125.2798	  -22.65522	   238.1525
   0.20903228	   127.4361	  -24.24792	   237.0948
   0.19978783	   129.7447	  -25.76471	   235.9716
   0.19095339	    131.274	  -27.13515	   234.6996
   0.18250887	   132.9263	  -28.38306	   233.2868
   0.17443438	    133.104	  -28.66821	    231.746
   0.16671985	   132.0044	  -29.41956	   230.4516
   0.15935032	   130.3423	  -29.27102	   229.4229
   0.15230572	   128.9302	   -28.9295	   228.3477
   0.14556612	   127.1783	  -28.37764	   227.4644
   0.13912654	   124.5923	  -28.23453	     226.69
   0.13297692	   121.9654	   -27.2826	   225.6149
   0.12709726	   119.8658	  -26.67978	   224.5957
   0.12147762	   117.7349	  -26.25477	   223.3828
   0.11610793	   115.5943	  -25.92843	   222.2708
   0.11097324	   113.0259	  -25.27032	   221.3589
   0.10606353	   110.9107	  -25.15973	   221.2708
   0.10137133	   108.8541	  -25.27249	   221.7365
  0.096888103	   107.6334	  -26.98661	   222.7397
  0.092603363	   108.1568	  -28.44811	   224.7605
  0.088508114	   109.3716	  -30.34438	    227.826
  0.084594354	   112.1861	  -30.83553	   231.1573
  0.080853574	   115.3638	  -29.96166	   234.5925
  0.077277794	   117.2544	  -28.83951	   236.8405
  0.073860504	   118.2388	  -26.74809	   238.6181
  0.070594199	   117.8209	   -23.9812	   239.7253
  0.067471892	   117.8033	   -20.5226	   239.9476
  0.064488076	   116.8033	  -16.75282	   240.2085
  0.061636247	   115.1861	  -12.59383	   240.4917
  0.058910415	   113.2505	  -8.561678	    240.362
  0.056305572	   110.1373	  -4.931769	   240.2421
  0.053815722	    107.563	  -1.365828	    239.866
  0.051435869	   103.4634	    1.66777	   239.0724
  0.049161006	   100.9244	   5.236963	   238.2229
